,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year
4665,Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,3847,4436,2016
4666,Indian Institute of Technology Kharagpur,"Mathematics and Computing (5 Years, Integrated Master of Science)",OPEN,Gender-Neutral,1043,1386,2016
4667,Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,622,1560,2016
4668,Indian Institute of Technology Kharagpur,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,1561,2299,2016
4669,Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3373,4222,2016
4670,Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,4414,4776,2016
4671,Indian Institute of Technology Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4440,5502,2016
4672,Indian Institute of Technology Kharagpur,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,5606,6220,2016
4673,Indian Institute of Technology Kharagpur,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,6430,7423,2016
4674,Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3609,5538,2016
4675,Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,5586,6355,2016
4676,Indian Institute of Technology Kharagpur,"Physics (5 Years, Integrated Master of Science)",OPEN,Gender-Neutral,3404,5558,2016
4677,Indian Institute of Technology Kharagpur,"Quality Engineering Design and Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,4496,4893,2016
4678,Indian Institute of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3903,5869,2016
4679,Indian Institute of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3804,5300,2016
4680,Indian Institute of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,418,879,2016
4681,Indian Institute of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1393,2079,2016
4682,Indian Institute of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4255,4836,2016
4683,Indian Institute of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2674,4603,2016
4684,Indian Institute of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5389,6844,2016
4685,Indian Institute of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1430,3401,2016
4686,Indian Institute of Technology Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,699,2704,2016
4687,Indian Institute of Technology Jodhpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3693,5615,2016
4688,Indian Institute of Technology Jodhpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4876,6006,2016
4689,Indian Institute of Technology Kanpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1501,2988,2016
4690,Indian Institute of Technology Kanpur,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3578,5433,2016
4691,Indian Institute of Technology Kanpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1713,2569,2016
4692,Indian Institute of Technology Kanpur,"Chemistry (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,4814,6084,2016
4693,Indian Institute of Technology Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1571,3333,2016
4694,Indian Institute of Technology Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,113,230,2016
4695,Indian Institute of Technology Kanpur,"Earth Sciences (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,5900,7469,2016
4696,Indian Institute of Technology Kanpur,"Economics (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,1529,2767,2016
4697,Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,248,798,2016
4698,Indian Institute of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3030,4148,2016
4699,Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,528,976,2016
4700,Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,841,1394,2016
4701,Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,619,3110,2016
4702,Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1884,3242,2016
4703,Indian Institute of Technology Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,2412,3251,2016
4704,Indian Institute of Technology Madras,"Biological Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,2531,6368,2016
4705,Indian Institute of Technology Madras,"Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",OPEN,Gender-Neutral,6570,9353,2016
4706,Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1548,3012,2016
4707,Indian Institute of Technology Madras,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,2960,3258,2016
4708,Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1005,3703,2016
4709,Indian Institute of Technology Madras,"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,3604,4573,2016
4710,Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,62,173,2016
4711,Indian Institute of Technology Madras,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,214,278,2016
4712,Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,189,606,2016
4713,Indian Institute of Technology Madras,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,663,1212,2016
4714,Indian Institute of Technology Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,1364,5127,2016
4715,Indian Institute of Technology Madras,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1380,2274,2016
4716,Indian Institute of Technology Madras,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,535,1246,2016
4717,Indian Institute of Technology Madras,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,1293,2194,2016
4718,Indian Institute of Technology Madras,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2917,4391,2016
4719,Indian Institute of Technology Madras,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,4242,5280,2016
4720,Indian Institute of Technology Madras,"Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3515,5319,2016
4721,Indian Institute of Technology Madras,"Naval Architecture and Ocean Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,5222,5870,2016
4722,Indian Institute of Technology Madras,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",OPEN,Gender-Neutral,1736,4116,2016
4723,Indian Institute of Technology Gandhinagar,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3960,5473,2016
4724,Indian Institute of Technology Gandhinagar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4607,5892,2016
4725,Indian Institute of Technology Gandhinagar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,493,1805,2016
4726,Indian Institute of Technology Gandhinagar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1645,2548,2016
4727,Indian Institute of Technology Gandhinagar,"Materials Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5248,6869,2016
4728,Indian Institute of Technology Gandhinagar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2687,3658,2016
4729,Indian Institute of Technology Patna,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,6560,7891,2016
4730,Indian Institute of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5776,7074,2016
4731,Indian Institute of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1541,2888,2016
4732,Indian Institute of Technology Patna,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3895,5518,2016
4733,Indian Institute of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4359,6284,2016
4734,Indian Institute of Technology Roorkee,"Applied Mathematics (5 Years, Integrated Master of Science)",OPEN,Gender-Neutral,1938,3322,2016
4735,Indian Institute of Technology Roorkee,"Architecture (5 Years, Bachelor of Architecture)",OPEN,Gender-Neutral,4778,10422,2016
4736,Indian Institute of Technology Roorkee,"Bio Technology (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5417,6255,2016
4737,Indian Institute of Technology Roorkee,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2383,4017,2016
4738,Indian Institute of Technology Roorkee,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1877,3917,2016
4739,Indian Institute of Technology Roorkee,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,294,482,2016
4740,Indian Institute of Technology Roorkee,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1108,1833,2016
4741,Indian Institute of Technology Roorkee,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,948,1441,2016
4742,Indian Institute of Technology Roorkee,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2869,4345,2016
4743,Indian Institute of Technology Roorkee,"Geological Technology (5 Years, Integrated Master of Technology)",OPEN,Gender-Neutral,6185,7825,2016
4744,Indian Institute of Technology Roorkee,"Geophysical Technology (5 Years, Integrated Master of Technology)",OPEN,Gender-Neutral,4328,6865,2016
4745,Indian Institute of Technology Roorkee,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1565,2426,2016
4746,Indian Institute of Technology Roorkee,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4366,5856,2016
4747,Indian Institute of Technology Roorkee,"Polymer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5943,7531,2016
4748,Indian Institute of Technology Roorkee,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3502,4353,2016
4766,Indian Institute of Technology Ropar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5382,7372,2016
4767,Indian Institute of Technology Ropar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,898,1684,2016
4768,Indian Institute of Technology Ropar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3163,3893,2016
4769,Indian Institute of Technology Ropar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2995,5010,2016
4770,Indian Institute of Technology Ropar,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,4742,6123,2016
4771,Indian Institute of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,7282,8847,2016
4772,Indian Institute of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,7884,9137,2016
4773,Indian Institute of Technology (BHU) Varanasi,"Ceramic Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5836,8712,2016
4774,Indian Institute of Technology (BHU) Varanasi,"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,8730,9383,2016
4775,Indian Institute of Technology (BHU) Varanasi,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3808,5728,2016
4776,Indian Institute of Technology (BHU) Varanasi,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3629,5185,2016
4777,Indian Institute of Technology (BHU) Varanasi,"Civil Engineering with M.Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,4996,6238,2016
4778,Indian Institute of Technology (BHU) Varanasi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,500,772,2016
4779,Indian Institute of Technology (BHU) Varanasi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,778,880,2016
